scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
2,TWFE,0.083534405628258,0.0811124767342953,0.0024219288939627,0.0640285410954263,1.0,0.1174301020283402,2000.0,2500,heavy
3,DML-Multi,-0.0504713881677424,-0.0522472454172156,0.0017758572494731,0.0867916515488901,1.0,,2000.0,2500,heavy
3,TWFE,0.102011674326743,-0.0522472454172156,0.1542589197439586,0.1998472719191695,0.4303286010524298,0.0677565541876856,2000.0,2500,heavy
4,DML-Chang,0.0976614650812855,0.1066606847340585,-0.0089992196527729,0.2025687419329448,0.979,0.2275477938784736,2000.0,2500,heavy
4,TWFE,0.278906252057006,0.1066606847340585,0.1722455673229475,0.1839446719063687,0.6835,0.10332014090794,2000.0,2500,heavy
5,DML-Chang,0.0601159197550928,0.1244184460356652,-0.0643025262805723,0.3186499077460977,0.9785,0.3694389158966606,2000.0,2500,heavy
5,TWFE,0.2629897302805411,0.1244184460356652,0.1385712842448758,0.1553975486977173,0.9075,0.1179253567123267,2000.0,2500,heavy
6,DML-Multi,-0.1118188629588126,-0.1206418935549265,0.0088230305961139,0.0937344292457305,0.9979952010239784,,2000.0,2500,heavy
6,TWFE,0.151408074810468,-0.1206418935549265,0.2720499683653947,0.2925989533446668,0.0724574833225439,0.0576681037726528,2000.0,2500,heavy
7,DML-Chang,-0.9503693324896928,-0.9245457847171352,-0.0258235477725575,0.3149615976514091,0.977,0.3581252413865548,2000.0,2500,heavy
7,TWFE,-0.7604656759591284,-0.9245457847171352,0.1640801087580068,0.1810914809595459,0.8135,0.1199066060602092,2000.0,2500,heavy
8,DML-Chang,-0.2916675863780653,-0.5717970653400581,0.2801294789619928,0.4439284970934611,0.929,0.4131721891566599,2000.0,2500,heavy
8,TWFE,-0.4605827917091125,-0.5717970653400581,0.1112142736309457,0.144685093717067,0.946,0.1334357807663498,2000.0,2500,heavy
9,DML-Multi,-1.1914662186668066,-1.1892236223787425,-0.0022425962880642,0.1340033993283404,0.9874962957491864,,2000.0,2500,heavy
9,TWFE,-0.6434786247215347,-1.1892236223787425,0.5457449976572076,0.5546813259818271,0.0,0.0608101198481035,2000.0,2500,heavy
10,DML-Chang,0.0363217080317246,0.0382032125974066,-0.001881504565682,0.3001085093124697,0.979,0.3486502532691269,2000.0,2500,heavy
10,TWFE,0.0401982106201768,0.0382032125974066,0.0019949980227701,0.0642885117787341,0.9885,0.0843790439375407,2000.0,2500,heavy
11,DML-Chang,0.0419538231668305,0.0486510687062427,-0.0066972455394122,0.3011224475735303,0.984,0.3695418258333243,2000.0,2500,heavy
11,TWFE,0.1884593356143925,0.0486510687062427,0.1398082669081497,0.1571837783525854,0.674,0.087509352776164,2000.0,2500,heavy
12,DML-Chang,-0.3008552621848638,-0.6267301744578754,0.3258749122730116,0.4653973864811599,0.9215,0.4139409572029345,2000.0,2500,heavy
12,TWFE,-0.5129330455491995,-0.6267301744578754,0.1137971289086759,0.1452980986201354,0.839,0.1060833929142811,2000.0,2500,heavy
1,DML-Chang,0.1179745745189946,0.1174003691905297,0.0005742053284649,0.0316268452183317,0.986,0.039688726159892,2000.0,10000,light
1,TWFE,0.1178798246604655,0.1174003691905297,0.0004794554699357,0.0304734860010597,1.0,0.0549042522739871,2000.0,10000,light
2,DML-Chang,0.0388385019597306,0.0800369789883222,-0.0411984770285916,0.0644260219092001,0.8565,0.0486349611345853,2000.0,10000,light
2,TWFE,0.0795628016756645,0.0800369789883222,-0.0004741773126576,0.0321332420166127,1.0,0.0586784436503723,2000.0,10000,light
3,DML-Multi,-0.0513936157758423,-0.0532465004449697,0.0018528846691274,0.0260847620895688,1.0,,2000.0,10000,light
3,TWFE,0.1012579837310839,-0.0532465004449697,0.1545044841760537,0.1658988645314682,0.0739666408560436,0.0338940121775138,2000.0,10000,light
4,DML-Chang,0.1065711642302332,0.1046693764325578,0.0019017877976753,0.0362004344881638,0.9545,0.0365519015427451,2000.0,10000,light
4,TWFE,0.2760385488956463,0.1046693764325578,0.1713691724630884,0.1743535071526727,0.014,0.0516571829841291,2000.0,10000,light
5,DML-Chang,0.0654607994534619,0.1248987566189935,-0.0594379571655316,0.0788209280598106,0.7695,0.0504545691529531,2000.0,10000,light
5,TWFE,0.2642425111417529,0.1248987566189935,0.1393437545227593,0.1436806309996912,0.2565,0.058967603103327,2000.0,10000,light
6,DML-Multi,-0.106906565410226,-0.1141092328574175,0.0072026674471914,0.0279811214349292,1.0,,2000.0,10000,light
6,TWFE,0.1547600573346631,-0.1141092328574175,0.2688692901920807,0.2740398900350935,0.0,0.0288148709475879,2000.0,10000,light
7,DML-Chang,-0.9045455974062018,-0.9245608435592289,0.020015246153027,0.0587964381552818,0.873,0.0462778693238028,2000.0,10000,light
7,TWFE,-0.7592338188705747,-0.9245608435592289,0.165327024688654,0.1695746621884108,0.1055,0.0599292469187787,2000.0,10000,light
